"co_ano","co_mes","produtos","pais_origem","co_via","kg_liquido","vlr"
1998,1,"OutrosProd","Russia","04",911,1848729
1998,1,"OutrosProd","Ucrania","01",25211,102153
1998,1,"OutrosProd","Ucrania","04",103,1285
1998,1,"Petroleo","Outros","01",1180248438,245929260
1998,1,"Petroleo","Outros","04",13498,76057
1998,1,"Petroleo","Outros","07",2679704,651661
1998,2,"Fertilizantes","Outros","01",227231526,81130929
1998,2,"Fertilizantes","Outros","04",193153,4108245
1998,2,"Fertilizantes","Outros","07",1609380,2568241
1998,2,"Fertilizantes","Russia","01",40308352,4584064
1998,2,"Fertilizantes","Ucrania","01",26432667,5634007
1998,2,"OutrosProd","Outros","01",4601086999,2435931048
1998,2,"OutrosProd","Outros","02",13630699,15649997
1998,2,"OutrosProd","Outros","03",10500000,1155000
1998,2,"OutrosProd","Outros","04",12989349,888314025
1998,2,"OutrosProd","Outros","05",14732,672373
1998,2,"OutrosProd","Outros","06",16065030,6287180
1998,2,"OutrosProd","Outros","07",322036147,306396492
1998,2,"OutrosProd","Outros","08",0,89362903
1998,2,"OutrosProd","Outros","09",941008,8759641
1998,2,"OutrosProd","Russia","01",615649,1696263
1998,2,"OutrosProd","Russia","04",1344,795781
1998,2,"OutrosProd","Ucrania","01",3480853,1088106
1998,2,"OutrosProd","Ucrania","04",336,10875
1998,2,"Petroleo","Outros","01",1020947596,165630136
1998,2,"Petroleo","Outros","04",25122,121019
1998,2,"Petroleo","Outros","07",1634057,581847
1998,3,"Fertilizantes","Outros","01",299847691,104694963
1998,3,"Fertilizantes","Outros","04",340942,7494019
1998,3,"Fertilizantes","Outros","07",2088192,3808252
1998,3,"Fertilizantes","Russia","01",32303883,3652327
1998,3,"Fertilizantes","Ucrania","01",38906627,6238003
1998,3,"OutrosProd","Outros","01",5612417126,3055801852
1998,3,"OutrosProd","Outros","02",6358602,7496401
1998,3,"OutrosProd","Outros","03",10500000,1155000
1998,3,"OutrosProd","Outros","04",18283726,1242363675
1998,3,"OutrosProd","Outros","05",7855,883217
1998,3,"OutrosProd","Outros","06",32778887,11636988
